Category,Requirement,Status (HAVE/NEED),Current State,Gap Description,Impact (High/Med/Low),Mitigation Plan,Owner,Target Date,Notes
Technical Prerequisites,Managed Identity for DINE/Modify policies,,,,,,,,,
Technical Prerequisites,Log Analytics Workspace,,,,,,,,,
Technical Prerequisites,Event Hub Namespace,,,,,,,,,
Technical Prerequisites,Azure Policy Contributor role,,,,,,,,,
Technical Prerequisites,Contributor role on subscriptions,,,,,,,,,
Technical Prerequisites,VNet and Private DNS (if needed),,,,,,,,,
Technical Prerequisites,PowerShell Az modules installed,,,,,,,,,
Process Requirements,Policy deployment approval process,,,,,,,,,
Process Requirements,Exemption request workflow,,,,,,,,,
Process Requirements,Change management process,,,,,,,,,
Process Requirements,Incident response procedure,,,,,,,,,
Process Requirements,Stakeholder communication plan,,,,,,,,,
Documentation,Standard Operating Procedures,,,,,,,,,
Documentation,Deployment runbooks,,,,,,,,,
Documentation,Training materials,,,,,,,,,
Documentation,FAQ documentation,,,,,,,,,
Data Availability,Subscription inventory complete,,,,,,,,,
Data Availability,Key Vault inventory complete,,,,,,,,,
Data Availability,Policy assignment inventory complete,,,,,,,,,
Data Availability,Resource owners identified,,,,,,,,,
Data Availability,Environment tags available,,,,,,,,,
Stakeholder Engagement,Cloud Brokers team identified,,,,,,,,,
Stakeholder Engagement,Cyber Defense team identified,,,,,,,,,
Stakeholder Engagement,Subscription owners identified,,,,,,,,,
Stakeholder Engagement,Approval authority mapped,,,,,,,,,
Testing,Pilot subscriptions selected,,,,,,,,,
Testing,Test Key Vaults available,,,,,,,,,
Testing,Rollback plan documented,,,,,,,,,
