Risk ID,Risk Description,Category (Technical/Process/People/External),Impact (High/Med/Low),Likelihood (High/Med/Low),Risk Score,Mitigation Strategy,Owner,Status (Open/Mitigated/Accepted/Closed),Target Resolution Date,Notes
R001,Stakeholder approval process unclear or lengthy,Process,High,High,,,,,,"May delay production deployment"
R002,Subscription owners unavailable or unresponsive,People,Medium,Medium,,,,,,"Could block pilot selection"
R003,Existing Key Vault policies conflict with new deployment,Technical,High,Medium,,,,,,"Requires conflict analysis"
R004,Managed identity lacks required permissions,Technical,High,Low,,,,,,"Validate RBAC before deployment"
R005,Log Analytics workspace capacity insufficient,Technical,Medium,Low,,,,,,"Monitor workspace limits"
R006,Event Hub namespace capacity insufficient,Technical,Medium,Low,,,,,,"Monitor Event Hub throughput"
R007,Azure Policy evaluation delays exceed expectations,External,Low,Medium,,,,,,"30-90 min minimum - cannot be changed"
R008,Network restrictions prevent policy deployment,Technical,Medium,Low,,,,,,"Test in isolated environment first"
R009,Legacy Key Vaults incompatible with policies,Technical,Medium,Medium,,,,,,"Identify exemption candidates"
R010,Cyber Defense team blocks deployment,People,High,Low,,,,,,"Early engagement critical"
R011,Change management process requires extensive documentation,Process,Medium,Medium,,,,,,"Start documentation early"
R012,Pilot subscriptions not representative of production,Process,Medium,Medium,,,,,,"Select diverse environments"
R013,Resource tags missing or inconsistent,Technical,Low,High,,,,,,"Makes environment classification difficult"
R014,Cross-tenant Key Vaults discovered,Technical,Medium,Low,,,,,,"May require special handling"
R015,Shared services Key Vaults identified,Technical,Medium,Medium,,,,,,"Coordinate with multiple teams"
R016,Rollback process not tested,Process,High,Low,,,,,,"Test rollback in pilot"
R017,Monitoring infrastructure not redundant,Technical,Medium,Low,,,,,,"Single point of failure"
R018,Training materials not ready for production rollout,Process,Medium,Medium,,,,,,"Start early in Sprint 4"
R019,Value-add metrics not compelling to stakeholders,People,Medium,Medium,,,,,,"Gather strong pilot data"
R020,Production deployment window too short,External,Medium,Low,,,,,,"Negotiate adequate time"
