"PolicyName","Category"
"Certificates should use allowed key types","Certificate"
"Certificates using elliptic curve cryptography should have allowed curve names","Certificate"
"Certificates using RSA cryptography should have the specified minimum key size","Certificate"
"Certificates should have the specified maximum validity period","Certificate"
"Certificates should have the specified lifetime action triggers","Certificate"
"Certificates should be issued by the specified integrated certificate authority","Certificate"
"Certificates should be issued by the specified non-integrated certificate authority","Certificate"
"Certificates should be issued by one of the specified non-integrated certificate authorities","Certificate"
"Certificates should not expire within the specified number of days","Certificate"
"Keys should be the specified cryptographic type RSA or EC","Key"
"Keys should have the specified maximum validity period","Key"
"Secrets should have the specified maximum validity period","Secret"
"Keys should have more than the specified number of days before expiration","Key"
"Secrets should have more than the specified number of days before expiration","Secret"
"Keys should not be active for longer than the specified number of days","Key"
"Secrets should not be active for longer than the specified number of days","Secret"
"Keys should have a rotation policy ensuring that their rotation is scheduled within the specified number of days after creation.","Key"
"Keys using RSA cryptography should have a specified minimum key size","Key"
"Keys using elliptic curve cryptography should have the specified curve names","Key"
"[Preview]: Azure Key Vault Managed HSM keys should have an expiration date","Key"
"[Preview]: Azure Key Vault Managed HSM Keys should have more than the specified number of days before expiration","Key"
"[Preview]: Azure Key Vault Managed HSM keys using elliptic curve cryptography should have the specified curve names","Key"
"[Preview]: Azure Key Vault Managed HSM keys using RSA cryptography should have a specified minimum key size","Key"
"Keys should be backed by a hardware security module (HSM)","Key"
"Secrets should have content type set","Secret"
